"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2025","858.50","862.50","864.30","848.70","1.80M","-0.28%"
"05/22/2025","860.90","860.90","862.20","856.00","3.41M","-0.49%"
"05/21/2025","865.10","863.00","866.40","862.70","1.22M","0.03%"
"05/20/2025","864.80","859.80","865.40","858.90","2.03M","0.92%"
"05/19/2025","856.90","853.10","856.90","848.50","2.14M","0.18%"
"05/16/2025","855.40","854.60","856.90","852.50","1.35M","0.56%"
"05/15/2025","850.60","842.20","850.60","841.50","6.56M","0.78%"
"05/14/2025","844.00","844.60","846.60","841.70","3.22M","-0.17%"
"05/13/2025","845.40","844.40","847.40","844.40","4.15M","-0.06%"
"05/12/2025","845.90","846.40","849.30","840.70","3.94M","0.55%"
"05/09/2025","841.30","843.40","843.80","840.50","2.20M","0.30%"
"05/08/2025","838.80","844.30","845.70","837.30","3.31M","-0.31%"
"05/07/2025","841.40","843.30","843.50","838.70","2.09M","-0.39%"
"05/06/2025","844.70","848.50","849.90","841.70","2.74M","0.07%"
"05/02/2025","844.10","841.40","847.30","840.00","3.07M","1.15%"
"05/01/2025","834.50","835.20","835.80","832.00","2.31M","0.18%"
"04/30/2025","833.00","833.10","833.90","828.30","3.28M","0.17%"
"04/29/2025","831.60","827.90","832.30","825.90","4.04M","0.58%"
"04/28/2025","826.80","829.00","830.70","826.80","2.06M","0.05%"
"04/25/2025","826.40","828.40","828.80","825.00","1.72M","0.06%"
"04/24/2025","825.90","824.50","826.60","821.30","2.86M","0.07%"
"04/23/2025","825.30","827.70","831.50","824.00","4.28M","0.87%"
"04/22/2025","818.20","814.50","818.90","811.90","7.07M","0.70%"
"04/17/2025","812.50","808.70","814.60","804.50","1.54M","0.12%"
"04/16/2025","811.50","806.80","812.40","802.10","2.62M","0.28%"
"04/15/2025","809.20","798.30","809.60","798.30","1.81M","1.44%"
"04/14/2025","797.70","791.90","799.80","791.10","3.30M","2.11%"
"04/11/2025","781.20","781.60","783.50","770.80","3.00M","0.75%"
"04/10/2025","775.40","796.40","798.50","775.40","5.89M","3.21%"
"04/09/2025","751.30","756.70","762.10","743.30","4.69M","-2.82%"
"04/08/2025","773.10","759.50","780.10","759.20","4.88M","2.71%"
"04/07/2025","752.70","736.20","779.20","736.20","8.63M","-4.33%"
"04/04/2025","786.80","823.40","823.40","782.80","8.43M","-4.91%"
"04/03/2025","827.40","828.60","833.00","825.30","5.46M","-1.51%"
"04/02/2025","840.10","840.10","840.80","834.40","3.41M","-0.28%"
"04/01/2025","842.50","843.00","846.20","838.20","2.55M","0.52%"
"03/31/2025","838.10","839.40","839.60","833.00","5.25M","-0.85%"
"03/28/2025","845.30","842.80","848.60","842.80","1.95M","-0.09%"
"03/27/2025","846.10","845.10","846.10","841.40","5.73M","-0.20%"
"03/26/2025","847.80","847.60","849.90","844.30","2.92M","0.28%"
"03/25/2025","845.40","844.40","850.30","844.30","2.81M","0.32%"
"03/24/2025","842.70","847.60","848.20","840.60","3.61M","-0.02%"
"03/21/2025","842.90","846.50","847.00","840.40","1.57M","-0.72%"
"03/20/2025","849.00","849.70","852.60","846.00","1.83M","-0.02%"
"03/19/2025","849.20","846.80","850.40","845.00","2.18M","0.05%"
"03/18/2025","848.80","849.00","850.60","847.10","2.96M","0.27%"
"03/17/2025","846.50","842.80","847.10","841.00","2.45M","0.55%"
"03/14/2025","841.90","833.10","842.70","832.30","1.54M","1.08%"
"03/13/2025","832.90","830.20","835.80","829.40","4.75M","-0.39%"
"03/12/2025","836.20","833.30","838.00","832.00","3.35M","0.58%"
"03/11/2025","831.40","843.20","843.20","829.70","2.10M","-1.19%"
"03/10/2025","841.40","851.00","851.80","840.60","1.45M","-0.94%"
"03/07/2025","849.40","845.90","851.10","844.40","2.61M","0.05%"
"03/06/2025","849.00","856.50","857.50","846.10","2.81M","-0.52%"
"03/05/2025","853.40","858.00","861.40","853.40","1.91M","-0.13%"
"03/04/2025","854.50","859.20","863.20","853.10","2.14M","-1.26%"
"03/03/2025","865.40","862.50","869.00","860.60","2.33M","0.72%"
"02/28/2025","859.20","850.20","859.50","850.20","2.86M","0.57%"
"02/27/2025","854.30","850.00","855.60","849.20","2.57M","0.34%"
"02/26/2025","851.40","849.40","851.90","848.20","2.65M","0.77%"
"02/25/2025","844.90","841.30","849.20","841.30","2.97M","0.12%"
"02/24/2025","843.90","844.50","847.00","839.80","1.99M","-0.09%"
"02/21/2025","844.70","843.30","846.30","842.80","1.14M","0.02%"
